ax,ay,az,gx,gy,gz
-0.993652,0.014648,0.169189,-4.862596,-1.343511,-0.038168
-0.994873,0.019775,0.152344,-4.984733,-2.083969,-0.030534
-0.993164,0.017334,0.166748,-5.068702,-2.656489,0.022901
-0.993652,0.015869,0.173828,-4.938931,-2.801527,-0.022901
-0.993896,0.020996,0.168457,-4.961832,-2.832061,-0.099237
-0.986328,0.026367,0.164795,-4.885496,-2.213740,0.122137
-0.992676,0.013916,0.176025,-4.885496,-1.236641,-0.053435
-0.990479,0.018311,0.175293,-4.938931,-1.000000,-0.129771
-0.991943,0.017090,0.163330,-4.984733,-1.007634,0.015267
-0.983643,0.021484,0.174316,-4.816794,-0.633588,-0.076336
-0.994141,0.015381,0.169434,-4.816794,-0.442748,-0.129771
-0.988770,0.019531,0.173828,-4.809160,0.572519,-0.221374
-0.984863,0.023926,0.177979,-4.946565,0.954198,-0.045802
-0.987793,0.021484,0.162354,-4.992366,0.946565,-0.038168
-0.996826,0.017578,0.174316,-4.916030,0.282443,-0.083969
-0.996826,0.019531,0.161133,-5.129771,-0.190840,-0.053435
-0.989746,0.017822,0.171875,-4.977099,-0.450382,-0.152672
-0.980469,0.020752,0.179443,-4.839694,-0.519084,-0.137405
-0.987793,0.020752,0.178711,-5.015267,0.000000,-0.114504
-0.986084,0.022217,0.166016,-5.122138,0.053435,0.053435
-0.992920,0.021729,0.171143,-5.175572,-0.221374,-0.106870
-0.991943,0.021240,0.178467,-4.923664,-0.229008,-0.206107
-0.981934,0.017090,0.172363,-4.908397,-0.885496,-0.099237
-0.991699,0.018555,0.171143,-5.030534,-1.251908,0.022901
-0.985840,0.019287,0.178955,-4.954198,-1.435115,-0.137405
-0.984131,0.025635,0.177002,-4.908397,-0.770992,-0.083969
-0.988525,0.024658,0.173096,-4.870229,-0.541985,-0.091603
-0.984131,0.017090,0.193848,-4.824428,-0.160305,-0.137405
-0.986084,0.023438,0.183105,-4.877862,0.877863,0.015267
-0.989502,0.018311,0.184082,-4.854962,1.312977,-0.229008
-0.989014,0.026367,0.184326,-4.809160,1.564885,-0.175573
-0.992432,0.019287,0.183594,-4.893130,0.595420,0.015267
-0.995117,0.016846,0.175781,-4.870229,0.190840,-0.061069
-0.986084,0.014160,0.178223,-4.809160,-0.244275,-0.038168
-0.990967,0.013916,0.187012,-4.916030,-0.015267,0.000000
-0.983643,0.021973,0.177979,-4.961832,0.480916,-0.053435
-0.989990,0.022461,0.181885,-5.053435,0.587786,-0.183206
-0.988770,0.021973,0.175781,-4.793893,0.977099,0.061069
-0.984375,0.016113,0.184082,-4.954198,0.954198,-0.045802
-0.990723,0.020020,0.177490,-4.847328,0.595420,-0.083969
-0.986328,0.017822,0.182617,-4.854962,0.977099,0.068702
-0.987549,0.016113,0.187744,-4.725191,1.198473,-0.129771
-0.986816,0.024414,0.178711,-4.755725,0.167939,-0.267176
-0.990967,0.018799,0.177734,-4.923664,-0.557252,-0.083969
-0.988037,0.017090,0.177002,-4.931298,-0.824427,-0.015267
-0.991211,0.018066,0.177002,-5.099236,-0.832061,-0.038168
-0.993896,0.019531,0.183838,-5.045802,-1.290076,0.000000
-0.987305,0.015869,0.178223,-4.961832,-1.183206,0.030534
-0.990234,0.024170,0.176514,-5.076336,-1.458015,0.114504
-0.990723,0.018799,0.182373,-5.007634,-1.908397,0.000000
-0.993164,0.013916,0.187500,-5.137404,-1.625954,-0.091603
-0.990723,0.017090,0.185791,-5.122138,-1.343511,-0.129771
