ax,ay,az,gx,gy,gz
-0.078369,-0.013428,1.096924,-5.007634,0.618321,0.015267
-0.077881,-0.019043,1.079346,-5.236641,0.282443,-0.198473
-0.088867,-0.010986,1.091064,-5.801527,-0.381679,-0.511450
-0.077637,-0.017090,1.086182,-5.816794,0.366412,-0.488550
-0.082275,-0.015381,1.095215,-4.541985,0.374046,-0.007634
-0.086914,-0.009521,1.083984,-5.671756,-0.236641,-0.549618
-0.080566,-0.018066,1.086914,-6.427481,-0.648855,-0.335878
-0.076660,-0.012695,1.083252,-5.503817,0.503817,0.511450
-0.079590,-0.015381,1.077881,-4.549618,0.809160,0.618321
-0.077393,-0.009521,1.083496,-4.916030,0.419847,0.221374
-0.070557,-0.020996,1.087891,-5.419847,0.343511,-0.717557
-0.080322,-0.014404,1.097656,-5.022901,0.587786,-0.328244
-0.087402,-0.019043,1.085693,-5.091603,0.572519,0.145038
-0.081299,-0.016113,1.083252,-5.038168,0.473282,-0.190840
-0.081299,-0.017334,1.092773,-4.885496,0.656489,0.053435
-0.077881,-0.018799,1.098633,-3.671756,0.877863,0.404580
-0.083008,-0.001465,1.076172,-4.717557,0.427481,0.129771
-0.080078,-0.010742,1.080322,-5.839694,-0.534351,-0.167939
-0.076904,-0.019043,1.083496,-6.183206,-0.312977,-0.145038
-0.076172,-0.023193,1.094482,-3.671756,0.961832,0.358779
-0.083008,-0.010254,1.087402,-5.603054,-0.053435,-0.572519
-0.085205,-0.008301,1.082764,-6.335878,-1.099237,-0.648855
-0.085938,-0.017334,1.092285,-6.519084,-1.519084,0.190840
-0.076660,-0.022217,1.081299,-5.404580,-0.916031,0.541985
-0.064453,-0.013916,1.078125,-5.534351,-0.900763,-0.007634
-0.075439,-0.012207,1.076660,-7.083970,-1.809160,-0.351145
-0.057861,-0.015381,1.082520,-8.190840,-2.328244,-0.526718
-0.072021,-0.029785,1.097900,-5.251908,-1.099237,0.595420
-0.059082,0.026855,1.033936,-10.389313,-0.778626,2.229008
-0.066406,-0.018066,1.081787,-4.931298,-1.022901,0.129771
-0.067871,-0.013184,1.084717,-8.931297,-2.106870,-1.183206
-0.064209,-0.031494,1.103027,-6.671756,-1.381679,0.137405
-0.061523,-0.031006,1.086914,-4.618320,0.961832,0.389313
-0.075928,-0.013428,1.082520,-5.190840,0.702290,0.129771
-0.076660,-0.019531,1.085693,-5.549618,0.587786,0.183206
-0.064941,-0.022705,1.088379,-4.954198,0.480916,0.526718
-0.070557,-0.025635,1.082275,-3.664122,1.465649,1.114504
-0.071289,-0.020508,1.087646,-3.465649,1.923664,0.984733
-0.075684,-0.024414,1.088623,-5.549618,0.564885,-0.236641
-0.070068,-0.021484,1.098633,-6.702290,-0.427481,-0.633588
-0.073975,-0.027832,1.091064,-5.702290,0.290076,0.152672
-0.058594,-0.021240,1.079834,-4.839694,1.572519,0.038168
-0.070801,-0.010986,1.092041,-5.122138,0.305344,-0.206107
-0.071289,-0.030029,1.091797,-4.954198,0.633588,-0.343511
-0.082031,-0.028809,1.091553,-4.763359,0.702290,0.282443
-0.074951,-0.023193,1.090088,-4.519084,1.091603,0.572519
-0.065674,-0.010254,1.090576,-4.366412,0.526718,0.465649
-0.073730,-0.017334,1.091064,-4.587786,-0.832061,0.145038
-0.078125,-0.003662,1.099121,-4.328244,-1.603053,1.267176
-0.070557,-0.018066,1.080811,-3.076336,-1.557252,2.259542
-0.076172,0.000488,1.092041,-5.274809,-5.404580,2.526718
-0.041748,-0.052246,1.103760,-8.167939,-7.664122,2.541985
-0.045898,-0.028320,1.076660,-8.786260,-5.610687,0.122137
-0.049561,-0.035889,1.092529,-5.106870,-3.503817,-0.045802
-0.046387,-0.037109,1.087158,-4.557252,-1.641221,-1.030534
-0.064941,-0.007080,1.088135,-3.000000,0.015267,-0.198473
-0.064453,-0.017090,1.086914,-5.099236,-2.335878,0.351145
-0.046875,-0.036621,1.078857,-5.946565,-1.671756,-0.404580
-0.047363,-0.027588,1.085693,-4.381680,0.816794,-0.129771
-0.058838,-0.017090,1.076172,-4.152672,1.419847,-0.106870
-0.058594,-0.010498,1.082275,-5.809160,-0.511450,-1.236641
-0.056152,-0.026367,1.090332,-5.183206,-0.251908,-0.755725
-0.049805,-0.024414,1.076416,-4.404580,2.030534,-0.213740
-0.052734,-0.014404,1.084961,-5.274809,1.480916,-0.648855
-0.053711,-0.017578,1.094971,-6.129771,-0.259542,-1.053435
-0.057617,-0.017578,1.091553,-5.992366,-0.152672,-0.786260
-0.049072,-0.016113,1.089355,-6.877862,-0.366412,-0.984733
