ax,newAx,lin_ax,new_lin_ax
-0.0059,-0.0017,0.1688,0.0099
-0.0012,0.0015,0.1711,-0.0018
0.0107,-0.0004,0.1686,0.0086
0.0020,0.0005,0.1686,-0.0009
0.0063,0.0001,0.1675,0.0077
0.0129,0.0011,0.1676,-0.0001
0.0354,0.0022,0.1681,0.0070
0.0339,0.0010,0.0000,0.0004
-0.0029,-0.0012,0.1634,0.0061
0.0071,0.0017,0.0000,0.0011
-0.0427,-0.0054,0.1577,0.0050
0.0356,0.0081,0.1704,0.0026
0.0461,-0.0033,0.1583,0.0037
-0.0022,0.0028,0.1635,0.0031
-0.0266,-0.0049,0.1548,0.0029
0.1050,0.0139,0.1725,0.0047
0.1006,-0.0036,0.0000,0.0013
0.2292,0.0239,0.1801,0.0068
0.1482,-0.0084,0.1473,-0.0011
0.0903,0.0158,0.1703,0.0081
0.2200,0.0054,0.1589,-0.0013
0.4016,0.0312,0.1835,0.0095
0.4270,0.0100,0.1612,-0.0024
0.4546,0.0318,0.1816,0.0103
0.5610,0.0216,0.1703,-0.0022
0.6443,0.0384,0.1857,0.0105
0.5347,0.0132,0.1594,-0.0035
0.6208,0.0439,0.1885,0.0119
0.7034,0.0234,0.1668,-0.0040
0.7515,0.0463,0.1884,0.0124
0.7991,0.0297,0.1705,-0.0042
0.9683,0.0601,0.1998,0.0135
0.6294,0.0020,0.1409,-0.0079
0.5540,0.0481,0.1861,0.0157
1.2358,0.0675,0.2045,-0.0041
0.8472,0.0148,0.1513,0.0091
1.5054,0.1220,0.2574,0.0066
0.8042,-0.0386,0.0973,-0.0055
0.9001,0.1162,0.2509,0.0194
0.9829,-0.0173,0.1179,-0.0152
0.9629,0.1024,0.2363,0.0269
0.9934,-0.0037,0.1301,-0.0210
0.9966,0.0931,0.2257,0.0312
1.0105,0.0062,0.1383,-0.0242
1.0078,0.0850,0.2161,0.0332
1.0059,0.0131,0.1435,-0.0255
0.9912,0.0772,0.2066,0.0336
1.0002,0.0197,0.1484,-0.0254
1.0229,0.0741,0.2018,0.0331
1.0103,0.0235,0.1505,-0.0248
1.0002,0.0687,0.1948,0.0319
